Type,Content,Translation,Extra,cat,Translation2
personal,"What is the supreme law of the land?","本國的最高法律是什麼？","the Constitution","1","憲法"
personal,"What does the Constitution do?","憲法的作用是什麼？","sets up the government; defines the government; protects basic rights of Americans","2","建立政府體制；定義政府；保護美國人的基本權利"
personal,"The idea of self-government is in the first three words of the Constitution. What are these words?","憲法的前三個字說明自治的概念。這三個字是什麼？","We the People","3","我們人民"
personal,"What is an amendment?","什麼是修正案？","a change (to the Constitution); an addition (to the Constitution)","4","（憲法的）更正案；（憲法的）附加條款"
personal,"What do we call the first ten amendments to the Constitution?","憲法的前十條修正案稱為什麼？","the Bill of Rights","5","權利法案"
personal,"What is one right or freedom from the First Amendment?*","列舉憲法第一條修正案中的一項權利或自由？*","speech; religion; assembly; press; petition the government","6","言論自由；宗教自由；集會結社；出版自由；向政府請願的權利"
personal,"How many amendments does the Constitution have?","憲法共有幾條修正案？","twenty-seven (27)","7","二十七 (27) 條"
personal,"What did the Declaration of Independence do?","《獨立宣言》的作用是什麼？","announced our independence (from Great Britain); declared our independence (from Great Britain); said that the United States is free (from Great Britain)","8","宣佈美國脫離英國而獨立；聲明美國脫離英國而獨立；說明美國脫離英國而自由"
personal,"What are two rights in the Declaration of Independence?","《獨立宣言》中的兩項權利是什麼？","life; liberty; pursuit of happiness","9","生命（的權利）；自由（的權利）；追求幸福（的權利）"
personal,"What is freedom of religion?","什麼是宗教自由？","You can practice any religion, or not practice a religion.","10","你可以信仰任何宗教，也可以不信仰任何宗教。"
personal,"What is the economic system in the United States?*","美國的經濟體制是什麼？*","capitalist economy; market economy","11","資本主義經濟；市場經濟"
personal,"What is the ""rule of law""?","「法治」是什麼？","Everyone must follow the law; Leaders must obey the law; Government must obey the law; No one is above the law.","12","每個人都必須遵守法律；領導人必須遵守法律；政府必須遵守法律；沒有人高於法律之上。"
personal,"Name one branch or part of the government.*","列舉政府的一個分支或部門。*","Congress; legislative; President; executive; the courts; judicial","13","國會；立法部門；總統；行政部門；法院；司法部門"
personal,"What stops one branch of government from becoming too powerful?","什麼防止政府的一個分支變得過於強大？","checks and balances; separation of powers","14","制衡；權力分立"
personal,"Who is in charge of the executive branch?","誰負責行政部門？","the President","15","總統"
personal,"Who makes federal laws?","誰制定聯邦法律？","Congress; Senate and House (of Representatives); (U.S. or national) legislature","16","國會；參議院和眾議院；（美國或國家）立法機構"
personal,"What are the two parts of the U.S. Congress?*","美國國會由哪兩個部分組成？*","the Senate and House (of Representatives)","17","參議院與眾議院"
personal,"How many U.S. Senators are there?","美國參議員有幾位？","one hundred (100)","18","一百 (100) 位"
